,Branch,Average Driving Time (Minutes)
0,Albany Park,3.288481899886956
1,Altgeld,5.38103670745674
2,Archer Heights,3.402836482450398
3,Austin,4.864001712096226
4,Austin-Irving,2.8564576909421637
5,Avalon,3.098034297326047
6,Back of the Yards,2.762994980403847
7,Beverly,2.8929714868246243
8,Bezazian,3.214193244780996
9,Blackstone,3.8014861187847906
10,Brainerd,2.6512401661548224
11,Brighton Park,3.249338115072499
12,Bucktown-Wicker Park,2.963955461725216
13,Budlong Woods,3.087768024965822
14,Canaryville,2.283611863767779
15,Chicago Bee,2.7624082393184537
16,Chicago Lawn,2.7857843607209483
17,Chinatown,3.3169179469532803
18,Clearing,3.257715864745372
19,Coleman,3.5610232109922126
20,"Daley, Richard J. - Bridgeport",2.9284649733904113
21,"Daley, Richard M. - W. Humboldt",3.0132989062920648
22,Douglass,2.9924370285115516
23,Dunning,6.4702477167184895
24,Edgebrook,4.077095118260337
25,Edgewater,3.2716587942327067
26,Gage Park,2.973792852423484
27,Galewood-Mont Clare,3.304268350179763
28,Garfield Ridge,3.516351582279317
29,Greater Grand Crossing,2.981686597022381
30,Hall,3.5724483729943652
31,Harold Washington Library Center,4.342501938885241
32,Hegewisch,7.989012846770676
33,Humboldt Park,2.967355916451943
34,Independence,3.7357943534365186
35,Jefferson Park,3.279455473998896
36,Jeffery Manor,5.8179661447115985
37,Kelly,3.0602206032277115
38,King,3.859008172341745
39,Legler Regional,4.21501762262951
40,Lincoln Belmont,3.2961398318067077
41,Lincoln Park,3.37895417947912
42,Little Italy,2.3262162220520994
43,Little Village,3.404169449621527
44,Logan Square,4.256745971314614
45,Lozano,3.30073844631459
46,Manning,4.030100096540067
47,Mayfair,3.716742764443357
48,McKinley Park,4.000486290009793
49,Merlo,4.338515866950288
50,Mount Greenwood,4.285167163440093
51,Near North,3.6418074330274504
52,North Austin,3.944040676354499
53,North Pulaski,3.9551129413036086
54,Northtown,4.00337705096617
55,Oriole Park,6.7108820462631344
56,Portage-Cragin,4.5125376189695645
57,Pullman,3.315796259946324
58,Roden,6.761241147003839
59,Rogers Park,4.15622654438138
60,Scottsdale,3.4675186037176378
61,Sherman Park,3.2116642816395813
62,South Chicago,4.309360633885195
63,South Shore,3.9636613648676926
64,Sulzer Regional,4.113440369556184
65,Thurgood Marshall,3.1603377196837643
66,Toman,4.766149024058134
67,Uptown,4.061541258839447
68,Vodak-East Side,3.498569512869438
69,Walker,3.476309301080742
70,Water Works,4.6591761561313945
71,West Belmont,3.7371850843869456
72,West Chicago Avenue,3.4759314289941945
73,West Englewood,3.6213515656427213
74,West Lawn,3.652622278112489
75,West Loop,4.14105989602124
76,West Pullman,3.812780472813101
77,West Town,3.6092326990124364
78,"Whitney M. Young, Jr.",3.584829311417924
79,Woodson Regional Library,4.057952934347679
80,Wrightwood-Ashburn,4.525959804324816
